threshold,encoding,resampling,model,mean_f1,mean_balanced_accuracy,runs
15,label,smote,XGBoost,0.5881930247559631,0.6851406358724622,3
15,label,smoteenn,AdaBoost,0.5544160755651536,0.6498281641366153,3
15,label,smoteenn,Gaussian NB (GNB),0.5160287088634687,0.6131401735489093,3
15,label,smoteenn,Neural Network (MLP),0.546383196535871,0.6424552959926787,3
15,label,smoteenn,Random Forest,0.5757910578322786,0.6789769924019794,3
15,label,smoteenn,XGBoost,0.5728045581367546,0.6731102309521466,3
15,label,smotetomek,AdaBoost,0.5302381104112549,0.64104094218272,3
15,label,smotetomek,Gaussian NB (GNB),0.4995854568410579,0.6093593999101717,3
15,label,smotetomek,Neural Network (MLP),0.5457302769421825,0.6477063966698111,3
15,label,smotetomek,Random Forest,0.5419124619326712,0.6641432177821839,3
15,label,smotetomek,XGBoost,0.5824644912489793,0.6827595818469968,3
15,label,undersample,AdaBoost,0.5561386281934241,0.6526404837207355,3
15,label,undersample,Gaussian NB (GNB),0.5047288554956023,0.6133662515979245,3
15,label,undersample,Neural Network (MLP),0.5212029030789304,0.6223969286462453,3
15,label,undersample,Random Forest,0.5834236547165478,0.6826796859768027,3
15,label,undersample,XGBoost,0.5751970272067489,0.6625388902218455,3
15,onehot,smote,AdaBoost,0.5394373977059158,0.6465902709275796,3
15,onehot,smote,Gaussian NB (GNB),0.3542419808407953,0.5537202124983945,3
15,onehot,smote,Neural Network (MLP),0.5588578510180261,0.6624101438375855,3
15,onehot,smote,Random Forest,0.5500568047564972,0.6679730059520952,3
15,onehot,smote,XGBoost,0.5873751601966962,0.682387151986374,3
15,onehot,smoteenn,AdaBoost,0.5575350147063628,0.6523126808324952,3
15,onehot,smoteenn,Gaussian NB (GNB),0.21738993728641956,0.5343518973100057,3
15,onehot,smoteenn,Neural Network (MLP),0.5563146054248765,0.6576967026075261,3
15,onehot,smoteenn,Random Forest,0.5747769413456744,0.6779196685833261,3
15,onehot,smoteenn,XGBoost,0.5725920725151835,0.6726157705388274,3
15,onehot,smotetomek,AdaBoost,0.5362095167960063,0.6448131245748064,3
15,onehot,smotetomek,Gaussian NB (GNB),0.36816803145234406,0.558857892603742,3
15,onehot,smotetomek,Neural Network (MLP),0.5590430476526289,0.6627139608660427,3
15,onehot,smotetomek,Random Forest,0.5525130166224613,0.669865745362245,3
15,onehot,smotetomek,XGBoost,0.5831010514026037,0.681039318735866,3
15,onehot,undersample,AdaBoost,0.5581700159317265,0.6529575341322049,3
15,onehot,undersample,Gaussian NB (GNB),0.21657783511466497,0.5368064779737728,3
15,onehot,undersample,Neural Network (MLP),0.5545267894153055,0.654306637161509,3
15,onehot,undersample,Random Forest,0.5840560436838258,0.6827366837447914,3
15,onehot,undersample,XGBoost,0.5738013616480843,0.6592247291066591,3
20,label,smote,AdaBoost,0.40743765963549067,0.6106696751528305,3
20,label,smote,Gaussian NB (GNB),0.4126143738448236,0.6055460778396046,3
20,label,smote,Neural Network (MLP),0.43731297081023346,0.6288559027925066,3
20,label,smote,Random Forest,0.41844281436952874,0.625432414375084,3
20,label,smote,XGBoost,0.48624132526493585,0.6701104658220407,3
20,label,smoteenn,AdaBoost,0.4399555802786539,0.6301567378977402,3
20,label,smoteenn,Gaussian NB (GNB),0.42057293757479536,0.6095618119583032,3
20,label,smoteenn,Neural Network (MLP),0.4431495829781553,0.6330021568637925,3
20,label,smoteenn,Random Forest,0.4696417479451502,0.6568698704048814,3
20,label,smoteenn,XGBoost,0.4755543792072135,0.662575397801702,3
20,label,smotetomek,AdaBoost,0.41162745475674895,0.6133964849393972,3
20,label,smotetomek,Gaussian NB (GNB),0.4124555942294749,0.6052772140270196,3
20,label,smotetomek,Neural Network (MLP),0.43821612872136195,0.6291192867277727,3
