porownanie,pct_grupa1,n1,pct_grupa2,n2,z,p,werdykt
% opóźnionych: weekend vs roboczy,35.0,1946,31.7,4823,2.638,0.008332330492207895,istotny
% odwołań: LH vs pozostałe,12.5,336,0.8,6527,18.0,1.9577774858683125e-72,istotny
