encoding,scheme,strategy,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy
label,stratified_kfold,cw_none,0.40085431403526606,0.030082297948054847,0.6076950684500869,0.016035441740644564
label,stratified_kfold,cw_balanced,0.5775017772760069,0.021676152954690813,0.6820052816738553,0.01837638051339596
label,stratified_kfold,cw_balanced_subsample,0.5826688842093348,0.02099335010669887,0.6864889974099431,0.017776075346768415
label,stratified_kfold,smote,0.5444452159181407,0.02098370925942243,0.6621764258356688,0.016547259464758466
label,stratified_kfold,undersample,0.5782697321278026,0.018076676009960678,0.6780402669970518,0.015734441754764086
label,stratified_kfold,smoteenn,0.5664662920823199,0.018286339894527374,0.6681256950997717,0.017140287513281484
label,stratified_kfold,smotetomek,0.5381862253748207,0.021018392534359283,0.6573233660709942,0.01635924325583928
label,time_oot,cw_none,0.34758620689655173,0.0,0.5812525010004002,0.0
label,time_oot,cw_balanced,0.5928636779505947,0.0,0.6625450180072029,0.0
label,time_oot,cw_balanced_subsample,0.599271402550091,0.0,0.6671746476368325,0.0
label,time_oot,smote,0.5467059980334317,0.0,0.6379596282957627,0.0
label,time_oot,undersample,0.6084828711256117,0.0,0.6574952203103464,0.0
label,time_oot,smoteenn,0.5960264900662252,0.0,0.6484593837535013,0.0
label,time_oot,smotetomek,0.565752128666036,0.0,0.6459995109154772,0.0
onehot,stratified_kfold,cw_none,0.41447450303742606,0.03582368456748201,0.6133313610150865,0.018563335597600327
onehot,stratified_kfold,cw_balanced,0.5797805110741849,0.020404997481595202,0.6860472251239967,0.016408060177067474
onehot,stratified_kfold,cw_balanced_subsample,0.5813016424960542,0.0225082504584133,0.6871794728948999,0.01823406055785144
onehot,stratified_kfold,smote,0.5401982797579732,0.022981673439070913,0.6629695228402623,0.01698873103293777
onehot,stratified_kfold,undersample,0.5772190495599314,0.01609298082256352,0.6774153265851202,0.014514478717327276
onehot,stratified_kfold,smoteenn,0.5721937435397172,0.019827176475422384,0.6748417897479831,0.016668107716832116
onehot,stratified_kfold,smotetomek,0.5403289044141291,0.020658466735874636,0.6630870987548736,0.015092171113481689
onehot,time_oot,cw_none,0.33936022253129344,0.0,0.5787492774887733,0.0
onehot,time_oot,cw_balanced,0.5919701213818861,0.0,0.6650671379662976,0.0
onehot,time_oot,cw_balanced_subsample,0.5921787709497207,0.0,0.6647925837001467,0.0
onehot,time_oot,smote,0.5456369107321966,0.0,0.6408074340847449,0.0
onehot,time_oot,undersample,0.6088379705400983,0.0,0.6583700146725358,0.0
onehot,time_oot,smoteenn,0.5938566552901023,0.0,0.6517540349473123,0.0
onehot,time_oot,smotetomek,0.5508130081300813,0.0,0.6470843893112801,0.0
